Default,Gender,AvgBal,Income
No,M,111,40675
No,M,298,27839
No,F,820,19802
Yes,M,1791,44607
No,M,883,44207
No,F,385,17845
Yes,M,1568,38785
No,F,928,18148
No,M,796,28617
No,M,653,32438
No,M,315,44690
No,M,1610,38756
No,M,852,57951
No,M,460,44527
No,M,1204,41485
Yes,M,2075,38989
No,M,1244,37926
No,F,1373,19458
No,M,449,52892
No,M,127,69542
No,M,387,24244
Yes,F,2333,11770
No,M,1359,24411
No,M,469,58360
No,M,111,40087
No,M,1444,54356
No,M,397,51560
No,F,146,15160
No,M,607,36616
No,M,1708,46417
No,M,957,53703
No,F,677,16148
No,F,238,17194
No,M,0,36950
No,F,741,13066
No,F,934,11811
No,M,860,33741
No,M,1033,31152
No,M,0,37468
No,M,835,51471
No,M,188,35074
No,M,506,43631
No,M,497,35956
No,F,739,15820
No,F,917,20131
No,M,1560,37227
No,M,392,44983
No,M,1066,39719
No,M,524,48092
No,M,790,39199
No,M,805,38222
No,M,1256,45142
No,M,655,44256
No,M,717,51528
No,M,686,32318
No,M,1530,29479
No,M,879,29697
No,M,738,37273
No,M,1647,49156
No,F,503,21371
No,M,215,40399
No,F,821,24820
No,M,991,56141
No,F,914,15547
No,F,1021,8971
No,M,1143,35773
No,F,763,15224
Yes,M,1532,42152
No,M,1861,39551
No,M,1101,27781
No,M,542,43873
No,F,697,2981
No,M,1536,30636
No,M,1333,33783
No,F,870,18056
No,M,1049,40916
No,M,12,32670
No,M,699,34277
No,M,855,48654
No,F,562,20164
No,M,62,28661
No,M,978,45005
No,M,1685,60890
No,M,1258,21679
No,M,672,53375
No,M,63,38493
No,M,686,28953
No,M,583,40369
No,M,809,32316
No,M,1078,17705
No,F,1716,22755
No,M,418,31206
No,M,1301,42494
No,M,897,46329
No,M,137,13586
No,M,29,38871
No,M,283,35446
No,M,859,19072
No,M,864,27690
No,M,1226,42203
No,M,696,38028
No,F,1840,26481
No,F,1227,16718
No,M,1717,39543
No,M,331,11732
No,F,916,17711
No,M,133,34579
No,M,421,33293
No,M,1058,27196
Yes,M,1972,34363
No,M,790,43646
No,M,132,40159
No,M,0,33168
No,F,106,17639
No,F,712,21407
No,M,906,44627
No,M,127,49736
No,M,1698,48596
No,F,1448,18989
No,M,711,40508
No,M,327,52697
No,M,353,59373
No,F,1247,15523
No,M,439,47899
No,M,1030,40711
No,M,0,32725
No,M,1113,51458
No,M,1341,40200
Yes,F,2270,18021
No,M,1384,27738
No,M,0,47214
No,M,746,42762
No,M,910,41916
No,M,196,57397
No,M,866,41365
No,F,1461,24960
No,M,761,44852
No,F,1165,10355
No,M,1085,39275
No,F,724,18641
No,M,115,27365
No,M,795,52507
No,M,1093,28811
No,M,944,48198
Yes,M,1861,55672
No,M,901,33131
No,F,1683,23344
No,M,196,26613
No,M,1181,29182
No,F,1101,13142
No,F,1507,14915
No,F,1214,17374
No,F,547,17446
No,M,1709,34891
No,M,248,36257
No,M,386,45776
No,M,527,35708
No,M,1547,51162
No,M,0,55781
No,M,0,34066
No,M,955,47520
No,F,751,16932
No,F,1256,12210
No,M,818,35902
No,F,1469,11337
No,M,332,46854
Yes,M,1457,51509
No,F,1291,19533
No,F,711,12686
No,M,734,33240
No,M,329,48134
No,M,1232,35069
No,M,847,28539
No,M,811,55120
No,F,1657,15359
No,F,1547,14344
No,F,591,13041
No,F,894,15093
No,M,0,47256
No,M,800,51731
No,F,686,12362
No,M,1263,68579
No,M,770,49857
No,M,1181,35124
No,F,528,17820
No,M,441,39210
No,M,922,38341
No,F,875,14637
No,M,1033,66305
No,M,1047,40822
No,F,1320,23374
No,F,699,26769
No,M,571,47021
No,M,843,33898
No,M,0,39893
No,M,850,44547
No,F,963,12800
No,M,1136,42150
No,F,1945,14941
No,F,1443,13049
No,M,136,39926
No,M,424,36783
No,M,300,28918
No,F,702,17607
No,M,283,39263
No,F,1358,11403
No,F,1328,11021
No,F,946,15179
No,M,664,53102
No,M,116,47520
No,M,800,37716
No,M,640,52414
No,M,877,27405
No,F,1382,15552
No,M,751,50910
No,M,0,21809
No,M,1121,29614
No,F,1312,28483
No,M,389,22582
No,M,862,58030
No,M,1079,38864
Yes,M,1893,31822
No,M,337,55853
No,M,1142,45581
No,F,847,13741
No,F,1575,24469
No,F,403,19690
No,F,567,25398
Yes,F,2010,25694
No,M,955,50139
No,M,1058,45515
No,M,381,28265
No,M,793,35556
No,M,1079,54420
No,F,1311,21189
No,M,38,37187
No,M,756,36514
No,M,57,56245
No,M,1190,30316
No,M,1337,51508
No,F,1255,16703
No,M,1212,42778
No,M,319,50069
No,M,336,38596
No,M,934,31043
No,M,812,42721
No,M,1185,37938
No,F,1738,7154
No,M,94,36304
No,M,995,33002
No,F,0,15986
No,M,1006,44564
No,M,332,47780
No,M,967,23279
No,M,132,26878
No,M,814,30975
No,M,0,31418
No,M,529,38815
No,M,743,40945
No,M,28,45541
No,M,1300,44215
No,M,907,27075
No,M,1451,53557
No,M,1028,48558
No,M,1047,40975
No,M,1453,28989
No,F,1191,20291
Yes,M,1859,35525
No,F,1153,12699
No,M,832,37373
No,M,923,34623
No,F,469,13945
No,M,475,41289
No,F,1485,10301
No,F,943,19978
No,M,1789,27427
No,M,660,21835
No,F,1320,24033
No,F,514,18935
No,M,1244,40036
No,M,947,41238
No,F,536,11020
No,M,683,33026
No,M,1190,38554
No,M,171,42749
No,F,1238,26854
No,M,1037,36035
No,F,465,19121
No,M,125,65211
No,M,667,44683
No,M,1111,50301
No,M,1142,33740
No,M,779,44257
No,M,1412,47728
No,M,986,52009
No,M,1252,32721
No,M,149,33398
No,M,465,43481
No,M,1031,41022
Yes,M,1478,31515
No,M,789,35798
No,F,790,14086
No,F,1124,16083
No,M,1370,40101
No,M,397,41970
No,M,682,30737
No,M,339,44923
No,F,1056,16001
No,M,927,44369
No,M,635,32595
No,M,834,40526
No,F,1345,18519
No,M,551,45348
No,M,496,24845
No,M,661,22610
No,M,136,20936
No,M,480,26084
No,M,231,32799
No,M,94,42931
No,F,509,22664
No,F,971,16585
No,M,1324,46875
No,M,933,32105
No,M,0,41152
No,F,985,17040
No,M,725,47549
No,M,247,40953
No,M,1051,23859
No,F,927,19446
No,F,1024,18546
No,M,700,41985
No,F,1036,14108
No,M,321,36275
No,M,0,54902
No,F,1299,19879
No,M,763,40978
No,F,809,9776
No,M,809,34543
No,F,678,20745
No,F,904,13997
No,F,102,26266
No,M,1218,43931
No,F,774,12290
No,M,1310,47432
No,M,922,31554
No,M,630,60230
No,M,78,31050
Yes,M,1773,42080
No,M,960,53419
No,M,665,56678
No,M,110,33419
Yes,F,1790,14307
No,M,1426,34016
No,F,1168,23502
No,M,891,35862
No,F,1124,23169
No,M,1796,31863
No,M,238,38230
No,M,1353,43889
No,F,1177,18663
No,F,1229,12158
No,M,271,34259
No,F,722,14662
Yes,M,1170,46692
No,M,840,38738
No,F,874,21811
No,M,434,57146
No,M,605,58469
No,M,429,36980
No,M,1663,36692
No,M,683,33175
No,M,599,42584
No,M,1088,32618
No,M,911,38630
No,M,538,44654
No,M,722,21163
No,F,439,17400
No,F,517,20179
No,M,811,42185
No,M,776,68180
No,M,285,39399
Yes,M,1555,26430
No,M,1057,54653
No,F,674,17672
No,M,690,24085
No,F,1400,14769
No,M,601,41491
No,F,755,18997
No,M,640,49977
No,M,766,35122
No,M,220,24019
No,M,47,38293
No,F,781,23820
No,M,169,57263
No,M,1558,46030
Yes,M,1891,34449
No,F,689,26662
No,M,452,39991
No,M,574,31633
No,M,572,43807
No,M,947,26619
No,M,524,43929
No,M,1146,44840
No,M,1647,39347
No,M,1216,43656
No,M,1185,53897
No,M,1416,40371
No,M,432,46658
No,F,521,16887
No,F,807,15965
No,M,775,33782
No,M,942,24683
No,F,1261,26085
No,M,509,39546
No,M,1389,39708
Yes,F,1836,18945
No,M,196,41973
No,M,1349,40549
No,M,662,43157
No,M,719,21045
No,M,451,39850
No,F,114,12541
No,F,889,10383
No,M,1046,47219
No,F,1264,18520
No,M,1109,29760
No,M,698,33265
No,M,1329,51721
No,F,1200,19538
No,M,1262,26768
No,M,605,39002
No,M,551,35648
No,M,894,36514
No,M,1164,46174
No,F,1062,17503
No,F,1205,19059
No,M,1666,18916
No,M,413,49061
No,M,595,29843
No,F,836,7405
No,M,178,28786
No,F,628,17868
No,M,1004,36896
No,M,1195,34334
No,M,516,51073
No,M,1242,37981
No,F,153,14028
No,M,1087,42452
No,M,281,29999
No,M,956,48658
No,M,1093,18844
No,M,734,22343
No,M,794,45090
No,F,410,25838
No,F,678,18930
No,M,815,39149
No,M,800,43547
No,F,301,19674
Yes,F,1749,13715
No,M,0,49459
Yes,M,1808,42309
No,M,833,36330
No,M,794,32432
No,M,632,46841
No,M,108,45265
No,M,1040,41395
No,F,1207,24748
No,M,67,45751
No,M,438,40577
No,M,709,21729
No,M,775,41858
No,M,0,39576
No,M,611,52124
No,M,845,34217
No,M,182,37725
No,M,273,63566
No,M,805,40237
No,M,227,33015
No,M,0,49793
No,M,692,23958
No,M,1674,54658
No,F,716,27285
No,M,339,44890
No,F,767,21980
No,M,1088,38171
No,M,29,35415
No,F,793,21347
No,F,1093,22593
No,M,408,35985
No,M,1215,38225
No,F,850,26764
No,F,1079,25945
No,M,404,55459
No,M,1378,48153
No,M,307,43504
No,M,1569,42415
No,F,1377,17077
No,F,656,26579
No,F,1655,23687
No,M,702,47812
No,M,1110,40237
No,F,718,18789
No,M,737,50545
No,M,672,40237
No,M,1298,42220
No,M,489,37339
No,F,636,20764
No,F,1407,16687
No,M,998,50288
No,M,0,47593
No,F,691,16872
No,M,486,14214
No,M,730,42685
No,M,152,41847
No,F,1106,13126
No,M,0,42009
No,M,816,48788
No,M,569,28123
No,M,590,24855
No,M,1140,36364
No,F,345,21342
Yes,M,2006,36636
No,M,1391,51882
No,M,1339,32501
No,M,79,37605
No,M,765,49101
No,M,603,56017
No,M,835,42469
No,M,1392,30153
Yes,M,1824,53526
No,M,1010,39457
No,F,1070,14736
No,M,1116,37074
No,M,428,36341
No,M,147,44482
No,F,690,15600
No,M,939,55360
No,F,591,19937
No,M,1139,41869
No,M,501,31354
No,M,1109,64213
No,F,734,28106
No,M,688,40354
No,M,119,35975
No,F,0,24283
No,M,635,49681
No,M,615,38162
No,M,458,36211
No,F,854,12843
No,M,771,42674
No,M,0,16835
No,M,58,44839
Yes,F,1894,21526
No,M,768,35951
No,M,336,46280
No,M,853,42774
No,F,1301,13676
No,M,744,33765
No,M,293,38528
No,F,1473,23878
No,M,756,52778
No,M,465,42358
No,F,1041,24848
No,M,710,46363
No,M,427,34193
No,M,612,60323
No,M,1322,47893
No,M,674,25013
Yes,M,1135,48982
No,F,510,21929
No,M,114,38513
No,F,560,24511
No,M,1164,32468
No,M,134,49516
No,M,897,36297
No,F,794,13446
No,M,943,27737
No,M,954,40908
No,M,814,29631
No,M,1388,26863
No,F,601,15897
No,M,657,34229
No,F,1791,21938
Yes,F,1926,17763
No,F,0,19282
No,M,310,31446
No,F,957,14465
No,M,205,47284
No,F,1573,24557
No,F,1456,14823
No,F,1011,28317
No,M,414,31466
No,M,0,51480
No,M,377,41902
No,F,0,13408
No,M,0,46581
No,F,527,22986
No,F,1470,15753
No,M,777,54663
No,M,1096,41016
No,M,130,46094
No,M,1332,27666
No,F,598,12386
No,M,177,53545
No,M,937,27175
No,M,0,22536
No,F,970,19245
No,M,269,48006
No,F,709,15969
No,M,596,32984
Yes,F,1945,13026
No,F,1805,10405
No,M,405,28493
No,M,849,26971
No,M,988,32459
Yes,F,2262,20030
No,M,1222,40865
No,M,1057,45099
No,F,292,17321
No,F,940,18582
No,M,368,32108
No,M,703,38419
No,M,1018,39893
No,M,240,25042
No,F,447,18310
No,M,1278,35620
No,M,520,30547
No,M,934,40378
No,F,1075,18574
No,F,1698,19021
No,M,1241,46148
No,M,574,54428
No,M,486,54794
No,M,455,41379
No,M,1110,39312
No,M,1225,49090
No,M,286,28838
No,M,1445,40365
No,M,1031,38199
No,F,382,19952
No,M,1337,41530
No,M,464,39627
No,M,949,24095
No,M,627,49207
No,M,350,45355
Yes,F,1493,11054
No,M,848,33199
No,M,242,47843
No,M,617,31925
No,M,733,36725
No,M,1101,50237
No,M,666,55093
No,M,175,55044
No,M,124,51266
No,M,345,38464
No,M,955,42964
No,M,1629,44912
No,M,913,31842
No,M,1307,49037
No,F,2309,19110
No,M,1042,58235
No,M,1265,44359
No,F,1349,21789
No,M,1257,23100
No,M,1047,45718
No,M,0,42118
No,M,433,22987
No,M,563,43029
No,M,721,41411
No,M,742,24393
No,M,1071,19529
No,F,1590,22542
No,M,1195,38223
No,M,270,38650
No,F,456,20549
No,F,796,10258
No,M,595,31419
No,F,540,13120
Yes,M,1323,23230
No,M,1267,36785
No,M,1092,34705
No,F,952,14355
No,F,559,16995
No,F,1222,9080
No,F,1026,20991
No,M,1141,25117
No,M,556,39707
No,F,307,11512
No,M,1271,42533
No,M,333,61509
No,M,1175,23942
No,M,474,35133
Yes,F,1725,22171
No,F,1057,14195
No,M,842,38023
No,M,591,52978
No,F,1071,19313
No,M,915,52871
No,M,1131,35072
Yes,M,1707,21739
No,M,839,43909
No,F,331,21272
No,F,763,24738
No,M,987,32386
No,M,916,42202
No,M,1264,25695
No,F,0,19750
No,M,441,47707
No,M,349,46698
No,M,424,37980
No,F,1295,21717
No,M,682,31154
No,M,1153,20586
No,M,1470,26137
No,F,1041,12177
No,M,1007,28245
No,M,667,44863
No,F,635,17024
No,M,299,39600
No,M,909,48358
Yes,F,1738,20974
No,M,203,46518
No,M,0,53663
No,F,1890,14757
Yes,M,1558,41648
No,M,1202,45383
No,M,1052,47529
No,M,642,18351
No,M,884,41668
No,F,954,18242
No,F,1169,14971
No,M,431,58552
No,F,1292,17910
No,F,335,5119
No,M,31,35961
No,F,1119,15214
Yes,F,1812,17962
No,M,386,44651
No,F,652,17743
No,M,1717,38791
No,F,1182,11785
No,M,745,34705
No,F,1453,15184
No,F,1333,29364
No,F,572,15633
No,M,495,40378
No,M,164,58221
No,F,1371,24249
No,M,1129,40689
No,M,0,44217
No,M,85,53760
No,M,681,48893
No,F,1366,11269
No,M,82,27358
No,M,603,33888
No,M,176,54799
No,F,714,20677
No,M,138,44747
No,M,160,30568
Yes,F,1957,15574
No,M,184,51149
No,M,975,50751
No,M,0,40057
No,M,424,35676
No,M,1478,42012
No,F,1211,14186
No,M,904,46972
No,F,1076,18097
No,M,989,28486
No,M,1311,32798
No,F,0,18163
No,M,289,45559
No,M,23,59536
No,F,288,24440
No,M,26,22720
No,F,726,23203
No,F,1137,25118
No,M,1335,30115
No,M,1194,34361
No,M,0,48272
No,M,1048,45182
No,M,0,29475
No,M,327,29816
No,M,772,38854
No,F,874,17656
No,M,975,36763
No,M,310,28140
No,M,287,18402
No,M,510,49345
No,F,840,21097
No,M,224,23513
No,M,1407,22807
No,M,1179,45545
No,M,1298,39143
No,M,627,37616
No,M,907,27632
No,M,872,40524
No,M,620,52537
No,M,380,30890
No,M,1073,51669
No,M,883,32311
No,F,1558,7365
Yes,M,2024,32095
No,F,804,13173
No,M,1060,27870
No,M,870,33589
No,F,1306,13985
No,M,1598,36525
No,M,1352,43630
No,M,0,47438
No,M,443,38947
No,F,963,15938
No,M,1064,41157
No,M,214,42759
No,M,1259,33571
No,M,507,49069
No,M,38,38702
No,M,1238,37387
No,M,0,37409
No,M,556,46585
No,M,748,44030
No,F,1001,17224
No,M,774,40428
No,M,745,35068
No,M,953,51257
No,M,998,37817
No,F,1099,21026
No,M,522,48700
No,M,83,27627
No,M,219,31491
No,M,276,38722
No,F,1180,24063
No,M,621,39099
No,M,415,38031
No,M,1390,48690
No,F,703,21412
No,M,494,52242
No,F,1351,14003
No,F,462,17610
No,M,143,44847
No,M,1280,30274
No,F,1765,17996
Yes,M,1648,55548
No,M,0,26626
No,M,611,22635
No,M,355,55634
No,F,473,19904
No,M,786,52694
No,M,773,47161
No,M,751,25014
No,M,1434,42799
No,M,1037,36623
No,F,1827,19616
No,M,765,37869
No,M,590,28238
No,M,754,41342
No,M,912,41249
No,M,312,39694
No,F,933,20695
Yes,M,1374,35806
No,F,322,10056
No,F,704,19318
No,F,535,18730
No,M,0,41933
No,M,771,44510
No,M,1016,31821
No,M,421,61655
No,M,1125,33564
No,M,857,28755
No,M,364,46156
No,M,1158,32220
No,M,993,28502
No,F,403,15334
Yes,F,2135,20331
No,F,1235,26919
No,F,805,22174
No,M,0,48291
No,F,158,24506
No,M,258,39477
No,M,1057,53081
No,M,0,41235
No,F,1730,19447
No,M,695,14151
No,M,1547,32929
No,M,429,45571
No,F,1765,18149
No,F,1182,17223
No,M,943,30179
No,M,0,47207
No,M,1087,54961
No,M,15,32320
No,M,0,35822
No,M,836,40179
No,M,1495,42280
No,F,1319,15821
No,M,431,37773
No,M,1335,45847
No,M,1141,27914
No,M,795,38710
No,M,1005,40615
No,M,481,49011
No,M,427,27261
No,F,1158,17997
No,M,890,43644
No,F,1321,20302
No,M,1168,57256
No,F,1197,10834
No,F,923,22989
No,M,835,28553
No,F,1265,14649
No,M,1604,25802
No,M,838,55082
No,F,851,21252
No,F,1508,17645
No,M,1272,34571
No,M,982,23637
No,M,488,46480
No,M,1046,47598
No,M,1534,42889
No,M,710,37303
No,F,1610,19649
No,F,646,14211
No,M,378,46729
No,M,995,39316
No,M,1241,57304
No,M,737,37031
No,M,1201,46478
No,F,647,16898
No,M,1161,52064
No,F,1522,21371
No,M,806,43384
No,M,1155,34540
No,M,613,38632
No,M,624,46188
No,M,1001,46469
No,F,808,18760
No,M,1156,38296
No,M,637,32886
No,F,1242,20105
No,M,741,31104
No,M,1170,39386
No,F,0,22188
No,M,1088,33673
No,M,0,53058
No,M,609,26463
No,F,431,15606
No,M,513,39632
No,F,1242,12059
No,M,0,46451
No,M,561,37885
No,M,245,35132
No,M,1081,34138
No,M,492,42317
No,M,1350,50645
No,F,1150,11667
No,M,358,42499
No,M,331,45105
No,F,1458,20043
No,F,852,15957
No,M,1379,43998
No,F,1006,22128
No,M,1421,34126
No,M,570,30615
No,F,1229,17305
No,F,1143,20942
No,M,759,32067
No,M,847,41651
Yes,M,2133,28238
No,M,355,30954
No,M,0,41372
No,M,1051,30073
No,M,0,34838
No,M,887,30564
No,M,688,20099
No,M,1257,40810
No,M,1176,41448
No,M,0,32608
No,M,609,22556
No,M,0,45218
Yes,F,2111,19345
No,M,697,38713
No,M,559,61188
No,M,715,49473
No,F,2027,20470
No,F,1187,24267
No,M,786,42888
No,M,846,42799
No,F,1033,13901
No,M,861,38111
No,M,1602,27885
No,M,956,10837
No,F,878,18218
No,M,1044,31524
No,F,1080,11240
No,M,589,47722
No,F,770,23049
No,M,951,33327
No,M,1189,36224
No,M,1709,35291
No,F,1403,16608
No,M,251,51662
No,M,681,26426
No,M,1333,39197
No,M,859,29150
No,F,993,14205
No,M,265,32276
No,M,754,31592
No,F,584,24440
No,M,1175,47684
No,M,1389,31022
No,M,410,37328
No,M,59,34162
No,F,1940,13837
No,M,886,24466
No,M,771,40991
No,F,306,13594
No,M,1022,37095
No,M,848,24951
No,M,1596,42994
No,F,1635,8531
No,M,0,30049
No,M,1307,48800
No,M,933,35858
No,F,1053,13486
No,F,1305,13497
No,F,2052,13131
No,M,1217,52378
No,M,526,44242
No,M,153,36813
No,M,906,47271
No,M,1069,41690
No,M,0,47803
No,F,992,14207
No,M,965,36677
No,M,494,43524
No,M,836,44234
No,M,480,57068
No,M,638,52348
No,F,2134,17898
No,M,1475,42243
No,M,887,55752
No,M,1376,43234
No,M,1305,45163
No,M,226,54535
No,M,1261,39985
No,F,31,16247
No,F,437,16261
No,M,923,52206
No,M,413,44650
No,M,693,54493
No,F,915,27283
No,F,1322,22930
No,M,1610,40499
No,M,1113,27111
No,M,0,43193
No,M,1163,44425
No,M,924,26398
Yes,F,1983,25688
No,M,726,49337
No,F,1030,16663
No,F,1039,13740
No,F,293,15221
No,F,495,14882
No,M,659,47942
No,M,292,48512
No,M,471,45573
No,M,856,56220
No,M,919,48161
No,M,1251,37882
Yes,M,1067,44918
No,F,1427,12554
No,F,1264,12419
No,F,1128,10159
No,M,694,36570
No,F,805,17903
No,M,520,39705
No,F,1051,16300
No,M,422,37324
No,F,622,13072
No,F,1005,21394
No,F,537,9422
No,F,190,24717
No,M,310,56100
No,M,969,33412
No,F,776,17031
No,M,1296,48682
No,M,1037,38490
No,M,979,25742
No,M,965,47987
No,F,816,17895
No,F,716,7998
No,M,1131,43937
No,M,384,41311
No,M,1008,20327
No,M,653,41162
No,F,1233,16279
No,M,803,52870
No,F,1443,22694
No,F,1288,21217
No,M,0,28712
No,F,1053,10213
No,F,745,22343
No,M,413,33923
No,M,943,35282
No,M,1193,39504
No,F,1072,11082
No,M,1493,41005
No,F,1133,15703
No,F,597,14797
No,F,793,17346
No,M,1376,22318
No,M,1060,39757
No,M,532,30851
No,M,0,28727
No,F,894,24670
No,M,906,37310
No,F,0,14875
No,M,506,35333
No,F,944,14124
No,M,0,39592
No,M,442,54997
No,F,381,20118
No,M,962,37073
Yes,M,1789,48331
No,M,76,27284
No,M,1067,53996
No,M,0,31005
No,M,253,40974
No,M,1057,55409
No,M,180,37728
No,F,991,18197
No,M,694,36723
No,M,965,37705
No,M,301,51424
No,M,1265,47298
No,M,559,40336
No,M,1184,53600
No,F,1166,20495
No,F,1542,17266
No,F,588,22669
No,F,0,25976
No,M,390,27330
No,M,647,55523
No,M,71,40013
No,F,116,12670
No,M,91,42452
No,M,1230,51717
No,M,202,27925
No,F,1563,10354
No,F,623,11020
No,F,1142,9185
No,F,1796,21126
No,M,947,38506
No,M,419,34333
No,M,1661,53754
No,M,391,24972
No,M,613,34745
No,F,1024,18668
No,M,0,50862
No,M,1253,33876
No,M,709,55676
No,M,267,16515
No,F,1339,19496
No,M,782,49457
No,F,1021,19033
No,M,948,40740
No,F,1313,20209
No,M,0,24566
No,M,0,30923
No,M,0,25965
No,F,859,13994
No,M,646,45697
Yes,F,1708,10592
No,M,134,28492
No,F,81,16146
No,F,632,17845
No,M,1237,40669
No,M,743,40085
No,F,97,12732
No,M,1054,50900
No,M,960,29850
No,M,1259,33683
No,M,443,36547
No,M,1605,26126
No,M,0,47328
No,M,833,25106
No,F,444,19632
No,M,817,40088
No,M,882,43726
No,M,1154,48400
No,F,962,9681
No,F,516,17538
No,F,1357,22573
No,M,1036,35261
No,F,901,17803
No,M,1516,46393
No,F,1015,22208
No,M,232,40369
No,F,1082,19452
No,M,682,17993
No,F,1218,18145
No,M,802,47444
No,M,144,38015
No,M,1087,32909
No,F,896,14753
No,M,660,58957
No,F,631,19087
No,F,1649,15402
No,F,976,18247
No,M,297,22955
No,M,0,32630
No,F,0,15348
No,F,789,18232
Yes,M,1804,31318
No,M,1266,29699
No,F,135,20414
No,M,29,36941
No,M,0,32249
No,M,751,49150
No,M,805,57386
No,M,1094,29573
No,M,484,44336
No,F,1534,19592
No,M,1349,48014
No,M,159,20575
No,F,172,25850
No,M,1281,53676
No,F,213,22811
No,M,0,62887
No,F,704,13903
No,M,709,38295
No,M,257,49478
No,F,1189,22867
No,M,0,32661
No,M,1322,45582
No,F,883,17750
No,F,1418,11964
No,M,1245,36898
No,M,340,58747
No,F,825,29088
No,M,241,30172
No,M,1511,47684
No,M,397,52175
No,F,1634,15786
No,M,650,47122
No,F,1382,15681
No,M,613,24368
No,M,1424,37846
No,F,914,19053
No,F,802,15470
No,F,540,18852
No,M,338,52192
No,F,813,16681
No,M,478,39834
No,M,342,32155
No,M,840,45317
No,F,866,16643
No,M,646,44402
No,M,1755,35032
No,M,499,51690
No,M,588,30860
No,F,825,10063
No,M,0,26200
No,F,881,20436
No,M,917,48228
No,F,790,19281
No,M,764,52938
No,F,1062,17383
No,M,944,44444
No,M,878,25588
No,M,1344,41417
Yes,F,1543,18305
No,M,380,38865
No,F,1177,23635
No,M,733,34525
No,M,349,48942
No,F,1380,19246
No,M,943,40370
No,M,1249,51897
No,M,713,51108
No,M,834,36722
No,M,0,38131
No,M,1559,37490
No,M,1362,37737
No,M,1582,45730
No,M,325,39752
No,M,1113,47527
No,M,380,32578
No,M,1549,26240
No,M,1489,46733
No,M,548,41648
No,M,562,37637
No,M,595,34470
No,M,268,27365
No,F,1793,21035
No,F,1773,10178
No,M,619,37333
No,M,206,37766
No,M,1011,36365
No,F,0,20068
No,F,1154,15221
No,M,293,43705
No,F,1107,19234
Yes,M,1666,30070
No,F,969,22213
No,M,797,39929
No,F,637,18620
No,F,1011,14101
No,M,791,47304
No,M,942,36965
No,M,707,46165
No,M,767,55991
No,M,569,37075
No,F,1272,19000
No,M,939,44281
No,M,1012,34632
No,M,1355,18936
No,M,912,43487
No,M,290,25725
Yes,F,2036,14436
No,F,1602,17858
No,M,0,35648
No,F,1202,14037
No,M,555,28164
No,F,230,2541
No,M,769,35504
No,F,1211,16898
No,M,0,27538
No,M,0,47556
No,F,860,15967
No,M,0,66916
No,F,1472,14960
No,F,583,17731
No,F,463,25858
No,M,986,48940
No,M,535,29685
No,M,1403,39657
No,M,968,46278
No,M,884,36889
No,F,456,19081
No,M,0,30208
No,M,1141,37918
No,M,365,21358
No,M,38,33579
No,F,732,13593
No,M,1007,47784
No,M,1108,34562
No,M,778,45674
No,M,1501,35399
No,F,862,12085
No,F,12,19911
No,M,0,45432
No,M,1820,31310
No,M,576,40180
No,M,838,31018
No,M,400,34875
No,F,579,20910
No,M,1107,46565
No,M,391,38442
No,F,274,15422
No,M,1477,42271
No,M,578,20307
No,M,1064,28192
No,M,1598,46405
No,M,863,33530
No,M,1158,32575
No,F,406,24087
No,M,309,44203
No,M,944,28354
No,M,1207,42917
No,F,1448,21028
No,M,1167,26978
No,M,800,61281
No,M,715,31033
No,M,471,28418
No,M,662,30390
No,M,770,53398
No,M,597,55497
No,M,141,48183
No,M,1036,29423
No,F,784,11561
No,F,442,17072
No,M,888,54073
No,M,704,44775
No,F,1016,15100
No,M,1036,42915
No,F,1060,22796
No,M,1244,38075
No,F,1292,26572
No,M,69,20223
No,M,196,29933
No,F,709,18306
No,M,1034,52107
No,M,868,50550
No,M,1236,48800
No,M,13,46282
No,F,826,21343
No,F,704,20752
No,F,817,13152
No,M,1210,45066
No,F,766,22297
No,M,1644,33981
No,M,1053,54010
No,M,240,41509
No,M,63,44441
No,F,924,11195
No,F,944,26028
No,M,296,51838
Yes,M,2086,35657
No,M,474,58069
No,M,505,54297
No,M,292,33961
No,M,593,40227
No,M,76,50055
No,F,1270,16809
No,M,877,40689
No,F,933,20981
No,M,280,30262
No,M,1155,40398
No,F,0,15274
No,F,1217,23379
No,M,0,48366
No,F,729,22892
No,M,0,33146
No,F,644,21323
No,M,973,27289
No,F,1178,14385
No,M,197,41315
No,M,1526,44845
No,M,441,56060
No,M,1005,56533
No,M,1258,36645
No,M,1564,37120
No,M,367,29906
No,F,1223,18276
No,F,1582,19683
No,M,647,32725
No,M,0,47056
No,F,1585,15079
No,F,838,25773
No,F,687,10544
No,M,948,37891
No,F,1205,18102
No,M,1254,37456
No,M,949,50529
No,M,530,27611
No,M,834,54558
No,M,638,36174
Yes,F,2387,28297
No,F,839,21383
No,M,295,63285
No,M,1178,34721
No,M,1150,57891
No,M,910,42468
No,F,1392,18540
No,F,1029,18018
No,M,1505,30774
No,M,1276,35123
No,M,875,25023
No,M,1105,51516
No,M,0,50127
No,M,699,37466
No,M,1055,33945
No,F,131,14492
No,M,796,44182
No,M,612,39291
No,M,1670,41410
No,M,1423,33591
No,M,771,29623
No,M,1315,29808
No,M,599,53218
No,M,584,34129
No,M,27,51660
No,M,66,32332
No,M,1338,23910
No,F,1120,16151
No,M,726,41996
No,M,1354,44373
No,M,532,38122
No,M,1825,36763
No,F,894,14035
No,F,1276,16446
